uid,等级,渠道,ip地址
1003100,1,mnwwest,"82.18.242.172, 64.252.166.86"
1003300,1,mnwwest,"168.0.61.17, 15.158.19.167"
1003600,1,mnwwest,"80.189.8.51, 130.176.222.70"
1003700,1,mnwwest,"200.69.7.61, 130.176.220.15"
1004300,1,mnwwest,"187.194.181.32, 130.176.56.138"
1005500,1,mnwwest,"31.4.159.48, 15.158.55.117"
1006300,1,mnwwest,"115.164.119.177, 130.176.7.78"
1007700,1,mnwwest,"179.109.109.218, 15.158.8.168"
1009800,1,mnwwest,"189.216.164.163, 70.132.6.137"
1001701,1,mnwwest,"180.194.35.215, 130.176.93.150"
1001901,1,mnwwest,"179.42.32.201, 15.158.19.146"
1002701,1,mnwwest,"170.79.84.159, 130.176.40.157"
1003201,1,mnwwest,"189.30.240.139, 15.158.19.146"
1004601,1,mnwwest,"115.164.168.75, 130.176.7.158"
1006501,1,mnwwest,"177.130.148.237, 52.46.43.70"
1006901,1,mnwwest,"201.19.8.148, 130.176.164.112"
1007801,1,mnwwest,"190.104.36.26, 130.176.220.47"
1010301,1,mnwwest,"189.40.75.41, 15.158.19.178"
1010701,1,mnwwest,"70.27.123.242, 15.158.17.84"
1002102,1,mnwwest,"73.54.247.137, 130.176.210.116"
1002602,1,mnwwest,"68.148.236.206, 15.158.4.13"
1003802,1,mnwwest,"206.0.99.18, 130.176.164.112"
1004202,1,mnwwest,"138.117.54.44, 15.158.37.40"
1005102,1,mnwwest,"27.125.248.219, 130.176.7.159"
1005802,1,mnwwest,"183.171.71.188, 130.176.7.95"
1005902,1,mnwwest,"188.251.51.241, 64.252.170.81"
1007502,1,mnwwest,"84.90.240.44, 130.176.183.204"
1008702,1,mnwwest,"24.90.49.46, 15.158.35.149"
1009102,1,mnwwest,"115.133.1.111, 130.176.7.159"
1011502,1,mnwwest,"174.203.8.195, 15.158.29.79"
1001503,1,mnwwest,"210.23.162.51, 130.176.93.150"
1003303,1,mnwwest,"186.132.96.18, 15.158.37.12"
1005303,1,mnwwest,"181.117.220.35, 130.176.220.37"
1005903,1,mnwwest,"46.222.177.63, 15.158.55.79"
1006803,1,mnwwest,"174.246.137.57, 15.158.29.116"
1007403,1,mnwwest,"45.160.44.50, 15.158.8.175"
1008003,1,mnwwest,"190.113.165.181, 130.176.220.5"
1008103,1,mnwwest,"45.7.215.200, 15.158.37.19"
1008703,1,mnwwest,"187.212.150.124, 130.176.56.10"
1009003,1,mnwwest,"177.237.24.7, 15.158.29.84"
1010003,1,mnwwest,"45.183.75.158, 130.176.220.52"
1010303,1,mnwwest,"186.235.185.26, 130.176.164.15"
1000104,1,mnwwest,"189.216.104.164, 15.158.29.79"
1004104,1,mnwwest,"187.144.24.238, 130.176.56.138"
1004404,1,mnwwest,"115.133.214.251, 130.176.7.94"
1006204,1,mnwwest,"177.47.39.2, 15.158.8.149"
1006404,1,mnwwest,"142.189.240.86, 15.158.17.107"
1007004,1,mnwwest,"186.122.88.213, 130.176.220.53"
1010604,1,mnwwestios,"86.177.42.158, 130.176.222.69"
1000905,1,mnwwest,"201.143.169.136, 15.158.15.40"
1001405,1,mnwwest,"49.150.161.79, 130.176.93.161"
1002205,1,mnwwest,"132.255.128.148, 130.176.40.13"
1002505,1,mnwwest,"85.241.240.12, 64.252.170.83"
1002905,1,mnwwest,"45.180.191.30, 15.158.19.146"
1003405,1,mnwwest,"31.4.128.120, 15.158.55.71"
1003705,1,mnwwest,"177.131.25.16, 15.158.8.175"
1003905,1,mnwwest,"186.26.93.242, 15.158.37.12"
1004305,1,mnwwest,"45.172.29.240, 130.176.220.47"
1006605,1,mnwwest,"1.132.31.62, 70.132.29.110"
1008005,1,mnwwest,"186.139.133.67, 130.176.220.52"
1008405,1,mnwwest,"187.157.22.142, 130.176.56.85"
1008505,1,mnwwest,"189.216.23.58, 130.176.174.105"
1010705,1,mnwwest,"179.107.252.19, 15.158.8.149"
1011205,1,mnwwest,"87.103.31.215, 64.252.170.81"
1000106,1,mnwwest,"177.34.50.185, 15.158.19.146"
1000606,1,mnwwest,"186.96.22.155, 130.176.56.149"
1001506,1,mnwwest,"95.94.92.129, 64.252.170.83"
1002206,1,mnwwest,"179.96.176.113, 15.158.37.5"
1004106,1,mnwwest,"181.46.68.243, 52.46.43.75"
1006606,1,mnwwest,"207.167.248.62, 130.176.130.13"
1007106,1,mnwwest,"189.217.103.216, 15.158.29.119"
1007606,1,mnwwest,"187.107.37.157, 15.158.19.146"
1010906,1,mnwwest,"201.141.24.184, 130.176.55.76"
1003307,1,mnwwest,"170.81.83.173, 15.158.8.144"
1003407,1,mnwwest,"192.141.246.144, 15.158.29.74"
1005007,1,mnwwest,"177.74.75.123, 130.176.164.137"
1005307,1,mnwwest,"113.211.209.180, 130.176.7.78"
1002808,1,mnwwest,"184.163.113.216, 130.176.130.1"
1004108,1,mnwwest,"174.194.149.212, 64.252.173.14"
1006208,1,mnwwest,"189.203.34.141, 15.158.5.46"
1008608,1,mnwwest,"183.171.101.118, 130.176.7.95"
